Show,Date,Placement,Artist,Song,Total,Digital,Physical,Pre-vote,SNS,Broadcast
Show Champion,10-09-2024,1.0,QWER,My Name Is Malgeum,"5,156","3,500",6,786,864,0
Show Champion,10-09-2024,2.0,VANNER,Automatic,"5,021",73,"1,184","2,000",697,"1,067"
Show Champion,10-09-2024,3.0,NCT WISH,Steady,"3,405",417,"1,500","1,120",368,0
Show Champion,10-09-2024,4.0,YENA,NEMONEMO,"2,550",133,232,118,"1,000","1,067"
Show Champion,10-09-2024,5.0,FIFTY FIFTY,SOS,"1,418",899,8,28,483,0
Show Champion,10-02-2024,1.0,Kang Daniel,Electric Shock,"4,634",692,291,"2,000",718,933
Show Champion,10-02-2024,2.0,DAY6,Melt Down,"3,642","3,500",13,111,18,0
Show Champion,10-02-2024,3.0,QWER,My Name Is Malgeum,"3,509","2,776",109,92,532,0
Show Champion,10-02-2024,4.0,NCT WISH,Steady,"2,708",557,"1,500",485,166,0
Show Champion,10-02-2024,5.0,FIFTY FIFTY,SOS,"2,320","1,084",39,50,214,933
Show Champion,09-25-2024,1.0,P1Harmony,SAD SONG,"6,219",163,"1,500","1,653",903,"2,000"
Show Champion,09-25-2024,2.0,DAY6,Melt Down,"3,677","3,500",11,133,33,0
Show Champion,09-25-2024,3.0,BOYNEXTDOOR,Nice Guy,"3,147",790,266,"2,000",91,0
Show Champion,09-25-2024,4.0,MEOVV,MEOW,"2,153","1,718",0,40,395,0
Show Champion,09-25-2024,5.0,LE SSERAFIM,CRAZY,"2,027","1,460",13,143,411,0
Show Champion,09-11-2024,1.0,LE SSERAFIM,CRAZY,"4,777","1,314",779,"1,684","1,000",0
Show Champion,09-11-2024,2.0,DAY6,Melt Down,"4,298","3,500",200,241,357,0
Show Champion,09-11-2024,3.0,Baekhyun,Pineapple Slice,"4,058",135,"1,500","2,000",423,0
Show Champion,09-11-2024,4.0,YOUNHA,Sunfish,"3,234","1,135",21,2,76,"2,000"
Show Champion,09-11-2024,5.0,Tzuyu,Run Away,"2,506",78,370,"1,793",265,0
Show Champion,09-04-2024,1.0,ZEROBASEONE,GOOD SO BAD,"5,794","1,403","1,500","1,891","1,000",0
Show Champion,09-04-2024,2.0,PLAVE,Pump Up The Volume!,"4,706","2,669",0,"2,000",37,0
Show Champion,09-04-2024,3.0,fromis_9,Supersonic,"3,888","3,500",6,365,17,0
Show Champion,09-04-2024,4.0,NMIXX,See that?,"3,373","2,612",12,311,38,400
Show Champion,09-04-2024,5.0,Oh My Girl,Classified,"3,147","1,663",50,49,318,"1,067"
Show Champion,08-14-2024,1.0,STRAY KIDS,Chk Chk Boom,"7,142","3,500",656,"2,000",986,0
Show Champion,08-14-2024,2.0,UNIS,Curious,"5,226",226,"1,357","1,310","1,000","1,333"
Show Champion,08-14-2024,3.0,BamBam,LAST PARADE,"1,985",279,"1,500",5,201,0
Show Champion,08-14-2024,4.0,Jimin,Who,"1,387",660,85,14,628,0
Show Champion,08-14-2024,5.0,nSSign,Tiger (New Flavour),"1,095",0,0,21,7,"1,067"
Show Champion,08-07-2024,1.0,STRAY KIDS,Chk Chk Boom,"6,998","2,814","1,195","2,000",989,0
Show Champion,08-07-2024,2.0,NCT 127,Walk,"4,333","3,500",679,66,88,0
Show Champion,08-07-2024,3.0,ENHYPEN,Brought The Heat Back,"3,765",278,609,"1,377",434,"1,067"
Show Champion,08-07-2024,4.0,TONY,Jigglin',"2,895",0,"1,500",84,911,400
Show Champion,08-07-2024,5.0,Jimin,Who,"1,504",449,333,64,658,0
Show Champion,07-31-2024,1.0,STRAY KIDS,Chk Chk Boom,"5,858","1,358","1,500","2,000","1,000",0
Show Champion,07-31-2024,2.0,(G)I-DLE,Klaxon,"4,105","3,500",6,73,526,0
Show Champion,07-31-2024,3.0,NCT 127,Walk,"1,776","1,294",37,401,44,0
Show Champion,07-31-2024,4.0,nSSign,Tiger (New Flavour),"1,062",0,18,103,8,933
Show Champion,07-31-2024,5.0,Jimin,Who,"1,039",302,182,150,405,0
Show Champion,07-17-2024,1.0,KISS OF LIFE,Sticky,"4,720","3,500",0,17,136,"1,067"
Show Champion,07-17-2024,2.0,ENHYPEN,XO (Only If You Say Yes),"4,130",343,"1,500","1,478",809,0
Show Champion,07-17-2024,3.0,(G)I-DLE,Klaxon,"3,907","1,966",808,133,"1,000",0
Show Champion,07-17-2024,4.0,Dreamcatcher,JUSTICE,"3,898",110,39,"2,000",682,"1,067"
Show Champion,07-17-2024,5.0,TWS,"If I'm S, Can You Be My N?","1,953","1,903",18,6,26,0
Show Champion,07-10-2024,1.0,NCT WISH,Songbird,"4,779",111,"1,500","2,000",101,"1,067"
Show Champion,07-10-2024,2.0,Lee Young-Ji,Small girl (ft. D.O.),"3,691","3,500",0,107,84,0
Show Champion,07-10-2024,3.0,KISS OF LIFE,Sticky,"3,354","1,354",0,607,326,"1,067"
Show Champion,07-10-2024,4.0,STAYC,Cheeky Icy Thang,"2,183",365,265,"1,311",242,0
Show Champion,07-10-2024,5.0,RIIZE,Boom Boom Bass,"1,721","1,296",61,347,17,0
Show Champion,07-03-2024,1.0,TWS,"If I'm S, Can You Be My N?","7,139",639,"1,500","2,000","1,999","2,000"
Show Champion,07-03-2024,2.0,Red Velvet,Cosmic,"4,403",935,788,"1,995",685,0
Show Champion,07-03-2024,3.0,Lee Young-Ji,Small girl (ft. D.O.),"4,049","3,500",0,155,392,0
Show Champion,07-03-2024,4.0,RIIZE,Boom Boom Bass,"1,571","1,107",67,218,179,0
Show Champion,07-03-2024,5.0,H1-Key,Let It Burn,"1,313",44,20,11,171,"1,067"
Show Champion,06-26-2024,1.0,RIIZE,Boom Boom Bass,"8,098",,,,,
Show Champion,06-26-2024,2.0,JxW,Last Night,"5,065",,,,,
Show Champion,06-26-2024,3.0,EVNNE,Badder Love,"4,566",,,,,
Show Champion,06-26-2024,5.0,Nayeon,ABCD,"2,763",,,,,
Show Champion,06-19-2024,1.0,Nayeon,ABCD,"4,644",144,"1,500","2,000","1,000",0
Show Champion,06-19-2024,2.0,aespa,Armageddon,"3,732","3,334",43,106,249,0
Show Champion,06-19-2024,3.0,NewJeans,Bubble Gum,"3,657","3,500",37,44,76,0
Show Champion,06-19-2024,4.0,EVERGLOW,ZOMBIE,"2,403",56,114,"1,817",416,0
Show Champion,06-19-2024,5.0,TREASURE,KING KONG,932,0,0,152,780,0
Show Champion,06-12-2024,1.0,Kep1er,Shooting Star,"5,049",100,220,"2,000",729,"2,000"
Show Champion,06-12-2024,2.0,NewJeans,How Sweet,"3,693","3,500",31,85,77,0
Show Champion,06-12-2024,3.0,ATEEZ,WORK,"2,912",105,"1,500","1,011",296,0
Show Champion,06-12-2024,4.0,aespa,Armageddon,"2,640","2,258",53,16,313,0
Show Champion,06-12-2024,5.0,WayV,Give me That,"2,217",208,730,629,250,400
Show Champion,06-05-2024,1.0,aespa,Armageddon,"4,611","1,969","1,500",142,"1,000",0
Show Champion,06-05-2024,2.0,ATEEZ,WORK,"3,935",325,"1,058","2,000",552,0
Show Champion,06-05-2024,3.0,NewJeans,How Sweet,"3,783","3,500",92,37,154,0
Show Champion,06-05-2024,4.0,TREASURE,KING KONG,"2,463",87,0,"1,681",695,0
Show Champion,06-05-2024,5.0,DXMON,"Girls, Love boys, Love girls","1,365",0,0,1,31,"1,333"
Show Champion,05-29-2024,1.0,NewJeans,How Sweet,"5,759","3,500","1,500",261,498,0
Show Champion,05-29-2024,2.0,ZEROBASEONE,Feel The POP,"4,745",347,29,"2,000",369,"2,000"
Show Champion,05-29-2024,3.0,NEXZ,Ride the Vice,"3,383",0,215,"1,101","1,000","1,067"
Show Champion,05-29-2024,4.0,tripleS,Girls Never Die,"2,416","2,297",2,39,78,0
Show Champion,05-29-2024,5.0,ONEUS,Now,"1,194",0,0,317,477,400
Show Champion,05-22-2024,1.0,ZEROBASEONE,Feel The POP,"5,858",291,"1,500","2,000","1,000","1,067"
Show Champion,05-22-2024,2.0,Zico,SPOT! (feat. JENNIE),"3,861","3,500",0,82,279,0
Show Champion,05-22-2024,3.0,tripleS,Girls Never Die,"1,769",553,71,19,59,"1,067"
Show Champion,05-22-2024,4.0,SEVENTEEN,MAESTRO,"1,418","1,085",44,138,151,0
Show Champion,05-22-2024,5.0,FANTASY BOYS,Pitter-Patter-Love,"1,341",0,0,7,1,"1,333"
Show Champion,05-08-2024,1.0,SEVENTEEN,MAESTRO,"5,988","1,488","1,500","2,000","1,000",0
Show Champion,05-08-2024,2.0,Zico,SPOT! (feat. JENNIE),"4,113","3,500",0,261,352,0
