Show,Date,Placement,Artist,Song,Total,Digital sales,Broadcast,Voting,Physical album,Video views
Music Bank,05-12-2023,2.0,SEVENTEEN,Super,"5,135","1,875","2,878",332,0,50.0
Music Bank,05-05-2023,1.0,SEVENTEEN,Super,"13,059",,,,,
Music Bank,04-28-2023,1.0,NCT DoJaeJung,Perfume,"8,350",,,,,
Music Bank,04-21-2023,1.0,IVE,I Am,"14,690",,,,,
Music Bank,04-14-2023,1.0,Jisoo,Flower,"7,140",,,,,
Music Bank,04-07-2023,1.0,Jimin,Like Crazy,"7,682",,,,,
Music Bank,03-31-2023,1.0,Jimin,Like Crazy,"9,198",,,,,
Music Bank,03-24-2023,1.0,Kai,Rover,"8,161",,,,,
Music Bank,03-17-2023,1.0,Twice,Set Me Free,"12,587",,,,,
Music Bank,03-10-2023,1.0,THE BOYZ,Roar,"6,013",,,,,
Music Bank,03-03-2023,1.0,THE BOYZ,Roar,"8,514",,,,,
Music Bank,02-24-2023,1.0,STAYC,Teddy Bear,"7,566",,,,,
Music Bank,02-17-2023,1.0,BSS,Fighting,"8,828",,,,,
Music Bank,02-10-2023,1.0,NCT 127,Ay-Yo,"11,861",,,,,
Music Bank,02-03-2023,1.0,TOMORROW X TOGETHER,Sugar Rush Ride,"13,245",,,,,
Music Bank,01-27-2023,1.0,NewJeans,OMG,"7,612",,,,,
Music Bank,01-20-2023,1.0,MONSTA X,Beautiful Liar,"10,600",,,,,
Music Bank,01-13-2023,1.0,NewJeans,Ditto,"11,011",,,,,
Music Bank,01-06-2023,1.0,ATEEZ,Halazia,"8,793",,,,,
Music Bank,12-20-2024,1.0,STRAY KIDS,Walkin On Water,"8,556",53,0,0,"8,363",140.0
Music Bank,12-20-2024,2.0,Twice,Strategy (ft. Megan Thee Stallion),"5,786",87,"3,447","1,907",170,175.0
Music Bank,12-20-2024,3.0,ROSÉ,APT (with Bruno Mars),"3,708","3,113",0,18,577,0.0
Music Bank,12-20-2024,4.0,Cravity,Now or Never,"3,483",3,"3,049",353,77,1.0
Music Bank,12-13-2024,1.0,Twice,Strategy (ft. Megan Thee Stallion),"10,488",5,"2,884","2,000","5,517",102.0
Music Bank,12-13-2024,2.0,Cravity,Now or Never,"5,840",20,"2,874","1,446","1,499",1.0
Music Bank,12-13-2024,3.0,ROSÉ,APT (with Bruno Mars),"4,891","3,264",11,6,"1,610",0.0
Music Bank,12-13-2024,4.0,aespa,Whiplash,"3,136","2,890",32,0,97,117.0
Music Bank,12-13-2024,5.0,G-Dragon,POWER,"2,408","2,231",0,0,0,177.0
Music Bank,12-06-2024,1.0,WayV,FREQUENCY,"6,354",19,"2,454","1,877","1,997",7.0
Music Bank,12-06-2024,2.0,TWS,Last Festival,"5,994",39,"2,814",415,"2,704",22.0
Music Bank,11-29-2024,1.0,ATEEZ,Ice On My Teeth,"9,219",21,"3,503","2,000","3,632",63.0
Music Bank,11-29-2024,2.0,ROSÉ,APT (with Bruno Mars),"3,756","3,725",31,0,0,0.0
Music Bank,11-22-2024,1.0,NCT DREAM,When I'm With You,"8,016",315,"3,020","2,000","2,635",46.0
Music Bank,11-22-2024,2.0,ENHYPEN,No Doubt,"7,709",11,"3,010","1,888","2,703",97.0
Music Bank,11-15-2024,1.0,TOMORROW X TOGETHER,Over The Moon,"11,171",354,"2,083","2,000","6,670",64.0
Music Bank,11-15-2024,2.0,ROSÉ,APT (with Bruno Mars),"4,700","4,668",32,0,0,0.0
Music Bank,11-08-2024,1.0,THE BOYZ,TRIGGER,"7,275",125,"3,912","2,000","1,228",10.0
Music Bank,11-08-2024,2.0,aespa,Whiplash,"6,388","3,167","2,636",44,392,149.0
Music Bank,11-01-2024,1.0,aespa,Whiplash,"11,082","2,094","2,499","1,885","4,445",159.0
Music Bank,11-01-2024,2.0,ILLIT,Cherish (My Love),"7,418",567,"3,734",201,"2,763",153.0
Music Bank,10-25-2024,1.0,SEVENTEEN,"LOVE, MONEY, FAME","10,051",838,"2,581",0,"6,507",125.0
Music Bank,10-25-2024,2.0,ITZY,GOLD,"5,574",48,"2,153","2,000","1,291",82.0
Music Bank,10-18-2024,1.0,The Wind,"Hello, My First Love","5,556",8,"3,756","1,481",310,1.0
Music Bank,10-18-2024,2.0,QWER,My Name Is Malgeum,"4,381","2,266",10,"2,000",19,86.0
Music Bank,10-11-2024,1.0,VANNER,Automatic,"6,788",3,"2,936","2,000","1,849",0.0
Music Bank,10-11-2024,2.0,NCT WISH,Steady,"5,531",240,"2,946","1,023","1,317",5.0
Music Bank,10-11-2024,3.0,YENA,NEMONEMO,"3,146",5,"2,563",0,572,6.0
Music Bank,10-04-2024,1.0,NCT WISH,Steady,"10,037",199,"3,959","2,000","3,873",6.0
Music Bank,10-04-2024,2.0,Kang Daniel,Electric Shock,"4,234",67,"3,557",0,607,3.0
Music Bank,09-27-2024,1.0,P1Harmony,SAD SONG,"6,864",5,"3,028","1,660","2,168",3.0
Music Bank,09-27-2024,2.0,RIIZE,Boom Boom Bass,"5,628",758,0,"2,000","2,841",29.0
Music Bank,09-20-2024,1.0,BOYNEXTDOOR,Nice Guy,"11,574",439,"3,671","2,000","5,446",18.0
Music Bank,09-20-2024,2.0,DAY6,Melt Down,"3,397","1,874","1,302",38,73,110.0
Music Bank,09-13-2024,1.0,Baekhyun,Pineapple Slice,"5,939",10,"2,419",0,"3,503",7.0
Music Bank,09-13-2024,2.0,Tzuyu,Run Away,"5,345",6,"2,010","2,000","1,304",25.0
