Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,05-20-2023,1.0,aespa,Spicy,"7,511",,,,,,,,
Show! Music Core,05-20-2023,2.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"5,887",,,,,,,,
Show! Music Core,05-13-2023,1.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"7,172",,,,,,,,
Show! Music Core,05-06-2023,1.0,SEVENTEEN,Super,"7,805",,,,,,,,
Show! Music Core,04-29-2023,1.0,NCT DoJaeJung,Perfume,"6,600",,,,,,,,
Show! Music Core,04-22-2023,1.0,IVE,I Am,"9,668",,,,,,,,
Show! Music Core,04-15-2023,1.0,Jisoo,Flower,"7,521",,,,,,,,
Show! Music Core,04-08-2023,1.0,IVE,Kitsch,"7,654",,,,,,,,
Show! Music Core,03-25-2023,1.0,Kai,Rover,"5,952",,,,,,,,
Show! Music Core,03-18-2023,1.0,ONEW,O (Circle),"6,590",,,,,,,,
Show! Music Core,03-11-2023,1.0,STAYC,Teddy Bear,"7,514",,,,,,,,
Show! Music Core,03-04-2023,1.0,THE BOYZ,Roar,"9,401",,,,,,,,
Show! Music Core,02-25-2023,1.0,BSS,Fighting,"5,809",,,,,,,,
Show! Music Core,02-18-2023,1.0,BSS,Fighting,"7,474",,,,,,,,
Show! Music Core,02-11-2023,1.0,NCT 127,Ay-Yo,"8,979",,,,,,,,
Show! Music Core,02-04-2023,1.0,NewJeans,Ditto,"5,690",,,,,,,,
Show! Music Core,01-28-2023,1.0,NewJeans,Ditto,"6,758",,,,,,,,
Show! Music Core,01-14-2023,1.0,NewJeans,Ditto,"7,002",,,,,,,,
Show! Music Core,01-07-2023,1.0,NewJeans,Ditto,"5,843",,,,,,,,
Show! Music Core,12-21-2024,1.0,G-Dragon,HOME SWEET HOME,"6,925",,,,,,,,
Show! Music Core,12-21-2024,2.0,aespa,Whiplash,"5,488",,,,,,,,
Show! Music Core,12-21-2024,3.0,ROSÉ,toxic till the end,"4,036",,,,,,,,
Show! Music Core,11-30-2024,1.0,aespa,Whiplash,"6,955","5,000",59,223,200,500.0,350.0,240.0,383.0
Show! Music Core,11-30-2024,2.0,G-Dragon,HOME SWEET HOME,"4,226","2,550",0,0,0,176.0,500.0,500.0,500.0
Show! Music Core,11-30-2024,3.0,Taeyeon,Letter To Myself,"3,484","1,898",131,68,451,282.0,260.0,265.0,129.0
Show! Music Core,11-23-2024,1.0,NCT DREAM,When I'm With You,"6,705","2,698",974,388,700,444.0,500.0,500.0,500.0
Show! Music Core,11-23-2024,2.0,aespa,Whiplash,"6,452","5,000",3,284,299,500.0,260.0,63.0,43.0
Show! Music Core,11-23-2024,3.0,G-Dragon,POWER,"4,871","3,612",0,233,301,177.0,400.0,98.0,50.0
Show! Music Core,11-16-2024,1.0,ROSÉ,APT (with Bruno Mars),"7,487",,,,,,,,
Show! Music Core,11-16-2024,2.0,aespa,Whiplash,"5,378",,,,,,,,
Show! Music Core,11-16-2024,3.0,G-Dragon,POWER,"4,226",,,,,,,,
Show! Music Core,11-09-2024,1.0,ROSÉ,APT (with Bruno Mars),"6,707",,,,,,,,
Show! Music Core,11-09-2024,2.0,THE BOYZ,TRIGGER,"4,365",,,,,,,,
Show! Music Core,11-09-2024,3.0,aespa,Whiplash,"3,653",,,,,,,,
Show! Music Core,11-02-2024,1.0,ROSÉ,APT (with Bruno Mars),"7,010",,,,,,,,
Show! Music Core,11-02-2024,2.0,aespa,Whiplash,"5,713",,,,,,,,
Show! Music Core,11-02-2024,3.0,ILLIT,Cherish (My Love),"2,596",,,,,,,,
Show! Music Core,10-26-2024,1.0,SEVENTEEN,"LOVE, MONEY, FAME","9,153",,,,,,,,
Show! Music Core,10-26-2024,2.0,aespa,Up (KARINA),"4,873",,,,,,,,
Show! Music Core,10-26-2024,3.0,ROSÉ,APT (with Bruno Mars),"3,928",,,,,,,,
Show! Music Core,10-19-2024,1.0,aespa,Up (KARINA),"6,698","4,698",0,0,0,500.0,500.0,500.0,500.0
Show! Music Core,10-19-2024,2.0,QWER,My Name Is Malgeum,"6,439","5,000",14,219,428,98.0,350.0,194.0,136.0
Show! Music Core,10-19-2024,3.0,AB6IX,NVKED,"3,562",477,"1,000","1,000",360,88.0,280.0,423.0,33.0
Show! Music Core,10-12-2024,1.0,QWER,My Name Is Malgeum,"7,671","5,000",46,850,494,108.0,500.0,380.0,293.0
Show! Music Core,10-12-2024,2.0,fromis_9,Supersonic,"6,333","4,467",0,118,59,239.0,450.0,500.0,500.0
Show! Music Core,10-12-2024,3.0,YENA,NEMONEMO,"3,768",798,309,"1,000",880,367.0,160.0,237.0,17.0
Show! Music Core,10-05-2024,1.0,KEY,Pleasure Shop,"8,344","5,000",175,363,806,500.0,500.0,500.0,500.0
Show! Music Core,10-05-2024,2.0,Kang Daniel,Electric Shock,"4,723","2,813",157,714,104,93.0,400.0,25.0,2.0
Show! Music Core,10-05-2024,3.0,QWER,My Name Is Malgeum,"4,086","3,263",521,521,161,10.0,40.0,181.0,261.0
Show! Music Core,09-28-2024,1.0,DAY6,Melt Down,"7,100","5,000",11,32,300,457.0,300.0,500.0,500.0
Show! Music Core,09-28-2024,2.0,fromis_9,Supersonic,"4,617","3,947",0,43,75,202.0,280.0,62.0,8.0
Show! Music Core,09-28-2024,3.0,NMIXX,See that?,"4,305","2,819",3,60,149,357.0,350.0,102.0,465.0
Show! Music Core,09-21-2024,1.0,DAY6,Melt Down,"6,634","5,000",13,67,298,241.0,400.0,396.0,219.0
Show! Music Core,09-21-2024,2.0,BOYNEXTDOOR,Nice Guy,"6,207","1,925","1,000","1,000",700,132.0,450.0,500.0,500.0
Show! Music Core,09-21-2024,3.0,LE SSERAFIM,CRAZY,"3,533","2,493",13,403,198,92.0,280.0,28.0,26.0
Show! Music Core,09-14-2024,1.0,DAY6,Melt Down,"7,093","5,000",181,355,302,186.0,350.0,500.0,219.0
Show! Music Core,09-14-2024,2.0,ONEW,beat drum,"6,283","4,457",147,309,90,198.0,450.0,132.0,500.0
Show! Music Core,09-14-2024,3.0,LE SSERAFIM,CRAZY,"3,767","2,106",58,"1,000",129,98.0,280.0,51.0,45.0
Show! Music Core,09-07-2024,1.0,JAEHYUN,Smoke,"6,806",,,,,,,,
Show! Music Core,09-07-2024,2.0,ZEROBASEONE,GOOD SO BAD,"5,988",,,,,,,,
Show! Music Core,09-07-2024,3.0,(G)I-DLE,Klaxon,"5,213",,,,,,,,
Show! Music Core,08-31-2024,1.0,PLAVE,Pump Up The Volume!,"7,576","5,000","1,000",350,226,500.0,500.0,500.0,500.0
Show! Music Core,08-31-2024,2.0,TAEMIN,Sexy In The Air,"5,667","2,939",205,712,525,272.0,450.0,182.0,382.0
Show! Music Core,08-31-2024,3.0,NMIXX,See that?,"4,637","1,512",0,894,500,189.0,400.0,61.0,81.0
Show! Music Core,08-24-2024,1.0,fromis_9,Supersonic,"8,757","5,000","1,000","1,000",0,257.0,500.0,500.0,500.0
Show! Music Core,08-24-2024,2.0,(G)I-DLE,Klaxon,"4,123","3,380",15,119,0,178.0,350.0,38.0,43.0
Show! Music Core,08-24-2024,3.0,KISS OF LIFE,Sticky,"3,965","3,254",0,122,0,351.0,220.0,16.0,2.0
Show! Music Core,08-10-2024,1.0,NCT 127,Walk,"7,089","5,000",684,88,0,500.0,450.0,116.0,251.0
Show! Music Core,08-10-2024,2.0,STRAY KIDS,Chk Chk Boom,"5,153","1,936",255,989,100,373.0,500.0,500.0,500.0
Show! Music Core,08-10-2024,3.0,(G)I-DLE,Klaxon,"4,474","3,346",8,334,356,50.0,350.0,21.0,9.0
