,Episode,Date,Artist,Song,Points,Award Show,Search Query,Song ID
160,764,"August 4, 2022",Seventeen,_World,"6,746",M Countdown,track:_World artist:Seventeen year:2000-2022,3QwiidVHfeE9y5jl4n2MTC
161,765,"August 11, 2022",Itzy,Sneakers,"7,944",M Countdown,track:Sneakers artist:Itzy year:2000-2022,5RoqWTV72C8GZhHmQqBh7O
162,766,"August 18, 2022",NewJeans,Attention,—,M Countdown,track:Attention artist:NewJeans year:2000-2022,2pIUpMhHL6L9Z5lnKxJJr9
163,767,"August 25, 2022",Blackpink,Pink Venom,"7,951",M Countdown,track:Pink Venom artist:Blackpink year:2000-2022,5P3o95Jf0YBQRQ4j2XPpfC
164,768,"September 1, 2022",Blackpink,Pink Venom,"9,071",M Countdown,track:Pink Venom artist:Blackpink year:2000-2022,5P3o95Jf0YBQRQ4j2XPpfC
165,769,"September 8, 2022",Blackpink,Pink Venom,"9,033",M Countdown,track:Pink Venom artist:Blackpink year:2000-2022,5P3o95Jf0YBQRQ4j2XPpfC
166,770,"September 15, 2022",Ive,After Like,—,M Countdown,track:After Like artist:Ive year:2000-2022,6CV6j2xz54thzlrWML3kAW
167,771,"September 22, 2022",Blackpink,Shut Down,"9,316",M Countdown,track:Shut Down artist:Blackpink year:2000-2022,6tCd8bPvYnceDG7W9M1RMk
168,772,"September 29, 2022",Blackpink,Shut Down,"8,377",M Countdown,track:Shut Down artist:Blackpink year:2000-2022,6tCd8bPvYnceDG7W9M1RMk
169,773,"October 6, 2022",Blackpink,Shut Down,"9,468",M Countdown,track:Shut Down artist:Blackpink year:2000-2022,6tCd8bPvYnceDG7W9M1RMk
170,774,"October 13, 2022",Stray Kids,Case 143,"7,658",M Countdown,track:Case 143 artist:Stray Kids year:2000-2022,3Z2x4v9CdkCzkh3KIi5roQ
171,775,"October 20, 2022",Stray Kids,Case 143,"10,756",M Countdown,track:Case 143 artist:Stray Kids year:2000-2022,3Z2x4v9CdkCzkh3KIi5roQ
172,776,"October 27, 2022",(G)I-dle,Nxde,—,M Countdown,track:Nxde artist:(G)I-dle year:2000-2022,7Ejqkb9YfldcLoh8B6bXgj
173,777,"November 10, 2022",Jin,The Astronaut,—,M Countdown,track:The Astronaut artist:Jin year:2000-2022,0h7QMc9ZRzA9QJrbEHytn2
174,778,"December 29, 2022",NCT Dream,Candy,"6,323",M Countdown,track:Candy artist:NCT Dream year:2000-2022,27bIik73QCu8Xzt3xpG1bI
